key,issuelink.id,type.id,type.name,type.inward,type.outward,inwardIssue.id,inwardIssue.key,inwardIssue.summary,inwardIssue.status.id,inwardIssue.status.name,inwardIssue.statusCategory.id,inwardIssue.statusCategory.key,inwardIssue.statusCategory.colorName,inwardIssue.statusCategory.name,inwardIssue.priority.id,inwardIssue.priority.name,inwardIssue.issuetype.id,inwardIssue.issuetype.description,inwardIssue.issuetype.name,inwardIssue.issuetype.subtask,outwardIssue.id,outwardIssue.key,outwardIssue.summary,outwardIssue.status.id,outwardIssue.status.name,outwardIssue.statusCategory.id,outwardIssue.statusCategory.key,outwardIssue.statusCategory.colorName,outwardIssue.statusCategory.name,outwardIssue.priority.id,outwardIssue.priority.name,outwardIssue.issuetype.id,outwardIssue.issuetype.description,outwardIssue.issuetype.name,outwardIssue.issuetype.subtask
BIGTOP-13,12342420,10030,Reference,is related to,relates to,12517816,BIGTOP-7,Some components are pulling tarballs from archive.cloudera.com/tarballs rather than Apache,6,Closed,3,done,green,Done,3,Major,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
AMQ-3145,12337016,10030,Reference,is related to,relates to,12496260,AMQ-3149,"concurrentStoreAndDispatchQueues when cache disabled can lead to skipped message dispatch, leaving message pending for some time",5,Resolved,3,done,green,Done,3,Major,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
DERBY-65,12310373,10030,Reference,is related to,relates to,,,,,,,,,,,,,,,,12312690,DERBY-474,Improve Network Server security  documentation,6,Closed,3,done,green,Done,3,Major,4,An improvement or enhancement to an existing feature or task.,Improvement,False
HDFS-1554,12336544,10032,Blocker,is blocked by,blocks,,,,,,,,,,,,,,,,12458882,HBASE-2312,Possible data loss when RS goes into GC pause while rolling HLog,6,Closed,3,done,green,Done,2,Critical,1,A problem which impairs or prevents the functions of the product.,Bug,False
HDFS-1554,12336725,10032,Blocker,is blocked by,blocks,12493936,HDFS-1555,HDFS 20 append: Disallow pipeline recovery if a file is already being lease recovered,6,Closed,3,done,green,Done,3,Major,4,An improvement or enhancement to an existing feature or task.,Improvement,False,,,,,,,,,,,,,,,
HDFS-1554,12342071,10030,Reference,is related to,relates to,,,,,,,,,,,,,,,,12507445,HDFS-1948,Forward port 'hdfs-1520 lightweight namenode operation to trigger lease reccovery',6,Closed,3,done,green,Done,3,Major,3,A task that needs to be done.,Task,False
HDFS-1554,12336754,10030,Reference,is related to,relates to,12491585,HDFS-1520,HDFS 20 append: Lightweight NameNode operation to trigger lease recovery,6,Closed,3,done,green,Done,3,Major,2,"A new feature of the product, which has yet to be developed.",New Feature,False,,,,,,,,,,,,,,,
HDFS-1554,12336565,10001,dependent,is depended upon by,depends upon,12458882,HBASE-2312,Possible data loss when RS goes into GC pause while rolling HLog,6,Closed,3,done,green,Done,2,Critical,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
HADOOP-7551,12342280,10030,Reference,is related to,relates to,,,,,,,,,,,,,,,,12497097,MAPREDUCE-2657,TaskTracker should handle disk failures,1,Open,2,new,blue-gray,To Do,3,Major,2,"A new feature of the product, which has yet to be developed.",New Feature,False
MTOMCAT-43,12347133,10020,Cloners,is cloned by,is a clone of,12538624,MTOMCAT-115,Allow configuration of URI encoding for executable war,6,Closed,3,done,green,Done,4,Minor,4,An improvement or enhancement to an existing feature or task.,Improvement,False,,,,,,,,,,,,,,,
